,POS,Player,Temp,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s,Year
0,1,Michael Hussey,CSK,733,17,17,3,95,52.35,566,129.50,0,6,81,17,2013
1,2,Chris Gayle,RCB,708,16,16,4,175*,59.00,453,156.29,1,4,57,51,2013
2,3,Virat Kohli,RCB,634,16,16,2,99,45.28,457,138.73,0,6,64,22,2013
3,4,Suresh Raina,CSK,548,18,17,4,100*,42.15,365,150.13,1,4,50,18,2013
4,5,Shane Watson,RR,543,16,16,2,101,38.78,380,142.89,1,2,59,22,2013
5,6,Rohit Sharma,MI,538,19,19,5,79*,38.42,409,131.54,0,4,35,28,2013
6,7,Dinesh Karthik,MI,510,19,19,1,86,28.33,411,124.08,0,2,54,14,2013
7,8,Ajinkya Rahane,RR,488,18,18,4,68*,34.85,458,106.55,0,4,42,11,2013
8,9,Rahul Dravid,RR,471,18,17,1,65,29.43,425,110.82,0,4,64,5,2013
9,10,MS Dhoni,CSK,461,18,16,5,67*,41.90,283,162.89,0,4,32,25,2013
10,11,Aaron Finch,PWI,456,14,14,0,67,32.57,336,135.71,0,4,54,16,2013
11,12,Robin Uthappa,PWI,434,16,16,0,75,27.12,371,116.98,0,2,42,12,2013
12,13,Kieron Pollard,MI,420,18,18,8,66*,42.00,281,149.46,0,3,27,29,2013
13,14,David Miller,PBKS,418,12,12,5,101*,59.71,254,164.56,1,3,28,24,2013
14,15,Dwayne Smith,MI,418,13,13,0,68,32.15,341,122.58,0,4,40,19,2013
15,16,David Warner,DC,410,16,16,3,77,31.53,323,126.93,0,4,41,14,2013
16,17,Gautam Gambhir,KKR,406,16,16,0,60,25.37,343,118.36,0,4,51,5,2013
17,18,AB de Villiers,RCB,360,14,14,4,64,36.00,219,164.38,0,2,34,15,2013
18,19,Yusuf Pathan,KKR,332,16,16,5,72,30.18,240,138.33,0,1,30,14,2013
19,20,Mahela Jayawardena,DC,331,15,15,0,66,22.06,313,105.75,0,2,39,6,2013
